Name,Id,Year,Gender,Course
Charlotte Simmons,8765-4321,Sophomore,Female,BSMATH
William Stewart,7654-3210,Senior,Male,BSPHYSICS
Sophia Taylor,6543-2109,Junior,Female,BSCS
Jacob Thomas,5432-1098,Freshman,Male,BSEE
Emily Thompson,4321-0987,Sophomore,Female,BSCE
Liam Turner,3210-9876,Senior,Male,BSIT
Mia Walker,2109-8765,Junior,Female,BSCA
Sophia Ward,1098-7654,Freshman,Male,BSIS
William White,0987-6543,Sophomore,Male,BSMATH
Lucas Williams,9876-5432,Senior,Male,BSPHYSICS
Amelia Wilson,8765-4321,Junior,Female,BSCS
Benjamin Young,7654-3210,Freshman,Male,BSEE
Charlotte Adams,6543-2109,Sophomore,Female,BSCE
Daniel Allen,5432-1098,Senior,Male,BSIT
Emily Baker,4321-0987,Junior,Female,BSCA
James Bell,3210-9876,Freshman,Male,BSIS
Emma Brown,2109-8765,Sophomore,Female,BSMATH
Olivia Carter,1098-7654,Senior,Male,BSPHYSICS
William Clark,0987-6543,Junior,Female,BSCS
Sophia Collins,9876-5432,Freshman,Male,BSEE
James Cook,8765-4321,Sophomore,Female,BSCE
Emily Cooper,7654-3210,Senior,Female,BSIT
Alexander Cox,6543-2109,Junior,Male,BSCA
Olivia Davis,5432-1098,Freshman,Female,BSIS
Daniel Diaz,4321-0987,Sophomore,Male,BSMATH
Emma Edwards,3210-9876,Senior,Male,BSPHYSICS
Liam Evans,2109-8765,Junior,Female,BSCS
Sophia Flores,1098-7654,Freshman,Male,BSEE
William Foster,0987-6543,Sophomore,Female,BSCE
Lucas Garcia,9876-5432,Senior,Male,BSIT
Amelia Gonzalez,8765-4321,Junior,Female,BSCA
Benjamin Gray,7654-3210,Freshman,Male,BSIS
Charlotte Green,6543-2109,Sophomore,Female,BSMATH
Jacob Hall,5432-1098,Senior,Male,BSPHYSICS
Sophia Harris,4321-0987,Junior,Female,BSCS
William Hernandez,3210-9876,Freshman,Male,BSEE
Sophia Hill,2109-8765,Sophomore,Female,BSCE
James Howard,1098-7654,Senior,Male,BSIT
Emily Hughes,0987-6543,Junior,Female,BSCA
Alexander Jackson,9876-5432,Sophomore,Male,BSIS
Olivia James,8765-4321,Senior,Female,BSMATH
William Jenkins,7654-3210,Junior,Male,BSPHYSICS
Sophia Johnson,6543-2109,Freshman,Female,BSCS
James Jones,5432-1098,Sophomore,Male,BSEE
